epoch;validloss;validppl
  1; 6.09;  443.24
  2; 5.64;  282.34
  3; 5.36;  212.59
  4; 5.09;  162.70
  5; 4.98;  144.84
  6; 4.90;  134.24
  7; 4.85;  127.51
  8; 4.80;  121.99
  9; 4.77;  117.88
 10; 4.75;  115.99
 11; 4.74;  113.96
 12; 4.72;  112.51
 13; 4.71;  111.55
 14; 4.71;  111.02
 15; 4.70;  110.43
 16; 4.70;  110.05
 17; 4.70;  110.19
 18; 4.70;  109.67
 19; 4.70;  110.05
 20; 4.70;  109.95
 21; 4.71;  110.50
 22; 4.71;  111.36
 23; 4.71;  110.86
 24; 4.72;  112.03
 25; 4.72;  112.30
