step;lr;trainingloss;trainingppl
   10;0.00;11.37;86751.56
   20;0.01;10.31;29887.03
   30;0.01;10.19;26729.47
   40;0.02;10.08;23805.94
   50;0.02; 9.91;20036.22
   60;0.03; 9.73;16799.27
   70;0.03; 9.53;13748.96
   80;0.04; 9.40;12078.27
   90;0.04; 9.16; 9519.73
  100;0.05; 8.94; 7652.95
  110;0.05; 8.79; 6581.15
  120;0.05; 8.58; 5310.45
  130;0.06; 8.45; 4663.91
  140;0.06; 8.30; 4020.68
  150;0.07; 8.14; 3432.69
  160;0.07; 8.02; 3047.26
  170;0.08; 7.86; 2595.22
  180;0.08; 7.81; 2456.36
  190;0.09; 7.69; 2191.29
  200;0.09; 7.59; 1975.22
  210;0.09; 7.56; 1926.24
  220;0.10; 7.58; 1954.25
  230;0.10; 7.49; 1791.21
  240;0.11; 7.48; 1766.10
  250;0.11; 7.24; 1388.33
  260;0.12; 7.32; 1513.98
  270;0.12; 7.27; 1443.40
  280;0.13; 7.17; 1296.47
  290;0.13; 7.19; 1326.36
  300;0.13; 7.19; 1329.58
  310;0.14; 7.05; 1157.22
  320;0.14; 7.08; 1192.62
  330;0.15; 7.08; 1189.72
  340;0.15; 7.03; 1131.19
  350;0.16; 6.99; 1090.56
  360;0.16; 7.01; 1106.60
  370;0.17; 7.04; 1136.17
  380;0.17; 7.04; 1135.73
  390;0.17; 7.04; 1145.32
  400;0.18; 6.85;  941.75
  410;0.18; 6.86;  955.32
  420;0.19; 6.79;  884.71
  430;0.19; 6.73;  833.96
  440;0.20; 6.75;  854.97
  450;0.20; 6.76;  860.59
  460;0.21; 6.76;  862.47
  470;0.21; 6.74;  849.41
  480;0.22; 6.76;  859.81
  490;0.22; 6.63;  758.61
  500;0.22; 6.60;  731.95
  510;0.23; 6.51;  673.80
  520;0.23; 6.57;  715.65
  530;0.24; 6.59;  727.89
  540;0.24; 6.63;  757.00
  550;0.25; 6.50;  663.92
  560;0.25; 6.54;  689.63
  570;0.26; 6.51;  674.52
  580;0.26; 6.63;  755.77
  590;0.26; 6.51;  674.87
  600;0.27; 6.46;  639.21
  610;0.27; 6.39;  594.22
  620;0.28; 6.40;  600.24
  630;0.28; 6.32;  554.72
  640;0.29; 6.38;  590.33
  650;0.29; 6.40;  600.65
  660;0.30; 6.37;  585.47
  670;0.30; 6.37;  583.00
  680;0.30; 6.33;  558.62
  690;0.31; 6.19;  487.52
  700;0.31; 6.16;  472.92
  710;0.32; 6.28;  531.50
  720;0.32; 6.28;  534.49
  730;0.33; 6.30;  546.36
  740;0.33; 6.32;  556.38
  750;0.34; 6.23;  508.44
  760;0.34; 6.30;  545.48
  770;0.34; 6.32;  558.31
  780;0.35; 6.20;  490.73
  790;0.35; 6.18;  481.65
  800;0.36; 6.26;  525.47
  810;0.36; 6.30;  544.40
  820;0.37; 6.23;  506.58
  830;0.37; 6.08;  436.16
  840;0.38; 6.06;  430.38
  850;0.38; 6.07;  432.86
  860;0.39; 6.15;  468.75
  870;0.39; 6.23;  507.79
  880;0.39; 6.04;  417.92
  890;0.40; 6.07;  430.72
  900;0.40; 6.18;  482.62
  910;0.41; 6.19;  485.86
  920;0.41; 6.09;  440.49
  930;0.42; 6.23;  507.78
  940;0.42; 6.18;  481.56
  950;0.43; 6.06;  429.56
  960;0.43; 5.96;  388.67
  970;0.43; 5.99;  399.35
  980;0.44; 5.99;  399.08
  990;0.44; 6.08;  438.46
 1000;0.45; 6.06;  428.29
 1010;0.45; 6.02;  411.66
 1020;0.46; 5.94;  378.87
 1030;0.46; 5.93;  377.44
 1040;0.47; 5.92;  371.76
 1050;0.47; 5.85;  345.85
 1060;0.47; 5.83;  340.36
 1070;0.48; 5.95;  384.86
 1080;0.48; 5.90;  365.37
 1090;0.49; 5.93;  376.01
 1100;0.49; 5.90;  363.53
 1110;0.50; 6.09;  442.10
 1120;0.50; 5.98;  394.00
 1130;0.51; 5.98;  396.09
 1140;0.51; 5.96;  387.89
 1150;0.51; 5.98;  394.10
 1160;0.52; 5.82;  336.02
 1170;0.52; 5.89;  360.96
 1180;0.53; 5.99;  399.15
 1190;0.53; 5.81;  332.07
 1200;0.54; 6.00;  402.67
 1210;0.54; 6.03;  417.65
 1220;0.55; 5.88;  356.75
 1230;0.55; 5.81;  334.78
 1240;0.56; 5.82;  336.71
 1250;0.56; 5.90;  365.43
 1260;0.56; 5.99;  397.63
 1270;0.57; 5.91;  367.65
 1280;0.57; 5.80;  329.87
 1290;0.58; 5.79;  328.16
 1300;0.58; 5.81;  331.98
 1310;0.59; 5.75;  313.59
 1320;0.59; 5.88;  357.61
 1330;0.60; 5.85;  347.44
 1340;0.60; 5.86;  351.97
 1350;0.60; 5.82;  337.74
 1360;0.61; 5.83;  341.80
 1370;0.61; 5.78;  323.49
 1380;0.62; 5.79;  325.88
 1400;0.63; 6.39;  594.03
 1410;0.63; 5.83;  339.00
 1420;0.64; 5.72;  306.23
 1430;0.64; 5.85;  346.40
 1440;0.64; 5.86;  351.28
 1450;0.65; 5.80;  329.25
 1460;0.65; 5.72;  305.11
 1470;0.66; 5.84;  345.12
 1480;0.66; 5.86;  349.61
 1490;0.67; 5.87;  354.00
 1500;0.67; 5.77;  319.46
 1510;0.68; 5.72;  305.97
 1520;0.68; 5.76;  318.91
 1530;0.68; 5.83;  341.16
 1540;0.69; 5.83;  339.03
 1550;0.69; 5.82;  335.74
 1560;0.70; 5.77;  321.89
 1570;0.70; 5.84;  342.80
 1580;0.71; 5.82;  336.76
 1590;0.71; 5.67;  290.47
 1600;0.72; 5.67;  289.93
 1610;0.72; 5.79;  325.48
 1620;0.73; 5.76;  318.85
 1630;0.73; 5.82;  337.21
 1640;0.73; 5.60;  269.38
 1650;0.74; 5.74;  310.42
 1660;0.74; 5.73;  307.47
 1670;0.75; 5.64;  280.37
 1680;0.75; 5.72;  305.98
