| epoch   1 |    10/ 1389 batches | lr 0.00 | ms/batch 30.03 | loss 11.45 | ppl 93609.87
| epoch   1 |    20/ 1389 batches | lr 0.01 | ms/batch 19.69 | loss 10.37 | ppl 31852.71
| epoch   1 |    30/ 1389 batches | lr 0.01 | ms/batch 19.53 | loss 10.25 | ppl 28397.81
| epoch   1 |    40/ 1389 batches | lr 0.02 | ms/batch 19.13 | loss 10.13 | ppl 24963.54
| epoch   1 |    50/ 1389 batches | lr 0.02 | ms/batch 19.65 | loss  9.94 | ppl 20750.52
| epoch   1 |    60/ 1389 batches | lr 0.03 | ms/batch 18.99 | loss  9.76 | ppl 17331.18
| epoch   1 |    70/ 1389 batches | lr 0.03 | ms/batch 19.48 | loss  9.55 | ppl 14103.76
| epoch   1 |    80/ 1389 batches | lr 0.04 | ms/batch 19.12 | loss  9.40 | ppl 12135.13
| epoch   1 |    90/ 1389 batches | lr 0.04 | ms/batch 19.45 | loss  9.18 | ppl  9728.25
| epoch   1 |   100/ 1389 batches | lr 0.05 | ms/batch 19.24 | loss  8.97 | ppl  7886.53
| epoch   1 |   110/ 1389 batches | lr 0.05 | ms/batch 19.47 | loss  8.81 | ppl  6714.91
| epoch   1 |   120/ 1389 batches | lr 0.05 | ms/batch 19.30 | loss  8.61 | ppl  5474.31
| epoch   1 |   130/ 1389 batches | lr 0.06 | ms/batch 19.53 | loss  8.48 | ppl  4820.39
| epoch   1 |   140/ 1389 batches | lr 0.06 | ms/batch 19.21 | loss  8.35 | ppl  4234.92
| epoch   1 |   150/ 1389 batches | lr 0.07 | ms/batch 19.08 | loss  8.18 | ppl  3581.95
| epoch   1 |   160/ 1389 batches | lr 0.07 | ms/batch 19.14 | loss  8.03 | ppl  3069.20
| epoch   1 |   170/ 1389 batches | lr 0.08 | ms/batch 19.68 | loss  7.86 | ppl  2582.56
| epoch   1 |   180/ 1389 batches | lr 0.08 | ms/batch 19.83 | loss  7.81 | ppl  2473.56
| epoch   1 |   190/ 1389 batches | lr 0.09 | ms/batch 19.47 | loss  7.71 | ppl  2230.93
| epoch   1 |   200/ 1389 batches | lr 0.09 | ms/batch 19.05 | loss  7.60 | ppl  1996.31
| epoch   1 |   210/ 1389 batches | lr 0.10 | ms/batch 19.19 | loss  7.58 | ppl  1950.92
| epoch   1 |   220/ 1389 batches | lr 0.10 | ms/batch 19.34 | loss  7.56 | ppl  1920.67
| epoch   1 |   230/ 1389 batches | lr 0.10 | ms/batch 19.55 | loss  7.49 | ppl  1789.63
| epoch   1 |   240/ 1389 batches | lr 0.11 | ms/batch 19.08 | loss  7.46 | ppl  1739.94
| epoch   1 |   250/ 1389 batches | lr 0.11 | ms/batch 19.22 | loss  7.23 | ppl  1381.90
| epoch   1 |   260/ 1389 batches | lr 0.12 | ms/batch 19.08 | loss  7.32 | ppl  1510.58
| epoch   1 |   270/ 1389 batches | lr 0.12 | ms/batch 19.56 | loss  7.28 | ppl  1457.76
| epoch   1 |   280/ 1389 batches | lr 0.13 | ms/batch 19.01 | loss  7.18 | ppl  1306.48
| epoch   1 |   290/ 1389 batches | lr 0.13 | ms/batch 19.30 | loss  7.19 | ppl  1330.37
| epoch   1 |   300/ 1389 batches | lr 0.14 | ms/batch 19.01 | loss  7.22 | ppl  1359.99
| epoch   1 |   310/ 1389 batches | lr 0.14 | ms/batch 19.01 | loss  7.05 | ppl  1158.39
| epoch   1 |   320/ 1389 batches | lr 0.15 | ms/batch 19.18 | loss  7.10 | ppl  1218.02
| epoch   1 |   330/ 1389 batches | lr 0.15 | ms/batch 20.11 | loss  7.08 | ppl  1186.89
| epoch   1 |   340/ 1389 batches | lr 0.15 | ms/batch 19.17 | loss  7.03 | ppl  1127.22
| epoch   1 |   350/ 1389 batches | lr 0.16 | ms/batch 19.98 | loss  7.00 | ppl  1101.93
| epoch   1 |   360/ 1389 batches | lr 0.16 | ms/batch 19.78 | loss  7.01 | ppl  1102.19
| epoch   1 |   370/ 1389 batches | lr 0.17 | ms/batch 19.10 | loss  7.03 | ppl  1128.87
| epoch   1 |   380/ 1389 batches | lr 0.17 | ms/batch 19.50 | loss  7.04 | ppl  1141.60
| epoch   1 |   390/ 1389 batches | lr 0.18 | ms/batch 19.58 | loss  7.03 | ppl  1127.39
| epoch   1 |   400/ 1389 batches | lr 0.18 | ms/batch 19.09 | loss  6.83 | ppl   923.87
| epoch   1 |   410/ 1389 batches | lr 0.19 | ms/batch 19.85 | loss  6.86 | ppl   948.94
| epoch   1 |   420/ 1389 batches | lr 0.19 | ms/batch 19.96 | loss  6.76 | ppl   865.93
| epoch   1 |   430/ 1389 batches | lr 0.20 | ms/batch 19.40 | loss  6.71 | ppl   820.35
| epoch   1 |   440/ 1389 batches | lr 0.20 | ms/batch 19.55 | loss  6.72 | ppl   826.98
| epoch   1 |   450/ 1389 batches | lr 0.20 | ms/batch 19.21 | loss  6.74 | ppl   844.60
| epoch   1 |   460/ 1389 batches | lr 0.21 | ms/batch 19.40 | loss  6.74 | ppl   846.80
| epoch   1 |   470/ 1389 batches | lr 0.21 | ms/batch 19.17 | loss  6.75 | ppl   850.83
| epoch   1 |   480/ 1389 batches | lr 0.22 | ms/batch 19.60 | loss  6.73 | ppl   836.85
| epoch   1 |   490/ 1389 batches | lr 0.22 | ms/batch 19.71 | loss  6.61 | ppl   744.89
| epoch   1 |   500/ 1389 batches | lr 0.23 | ms/batch 19.41 | loss  6.59 | ppl   725.31
| epoch   1 |   510/ 1389 batches | lr 0.23 | ms/batch 20.40 | loss  6.51 | ppl   670.28
| epoch   1 |   520/ 1389 batches | lr 0.24 | ms/batch 19.45 | loss  6.57 | ppl   711.70
| epoch   1 |   530/ 1389 batches | lr 0.24 | ms/batch 20.46 | loss  6.59 | ppl   728.61
| epoch   1 |   540/ 1389 batches | lr 0.25 | ms/batch 19.70 | loss  6.61 | ppl   741.38
| epoch   1 |   550/ 1389 batches | lr 0.25 | ms/batch 19.10 | loss  6.48 | ppl   649.91
| epoch   1 |   560/ 1389 batches | lr 0.25 | ms/batch 19.64 | loss  6.53 | ppl   685.67
| epoch   1 |   570/ 1389 batches | lr 0.26 | ms/batch 19.90 | loss  6.51 | ppl   674.72
| epoch   1 |   580/ 1389 batches | lr 0.26 | ms/batch 19.34 | loss  6.60 | ppl   734.75
| epoch   1 |   590/ 1389 batches | lr 0.27 | ms/batch 19.30 | loss  6.50 | ppl   664.40
| epoch   1 |   600/ 1389 batches | lr 0.27 | ms/batch 19.38 | loss  6.45 | ppl   633.75
| epoch   1 |   610/ 1389 batches | lr 0.28 | ms/batch 19.57 | loss  6.38 | ppl   588.13
| epoch   1 |   620/ 1389 batches | lr 0.28 | ms/batch 19.72 | loss  6.39 | ppl   598.31
| epoch   1 |   630/ 1389 batches | lr 0.29 | ms/batch 19.28 | loss  6.34 | ppl   567.38
